claim_id,quantity,value,uncertainty,n,unit,source_path,source_locator,status
cover-random-policy-audits.3619,per_slice/row402::idx,83970,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].idx,SOLID
cover-random-policy-audits.3620,per_slice/row402::hidden_pct,84.25031550949623,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].hidden_pct,SOLID
cover-random-policy-audits.3621,per_slice/row402::visible_pct,15.749684490503768,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].visible_pct,SOLID
cover-random-policy-audits.3622,per_slice/row402::n_cover,3,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].n_cover,SOLID
cover-random-policy-audits.3623,per_slice/row402::n_random,1,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].n_random,SOLID
cover-random-policy-audits.3624,per_slice/row402::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].n_transition,SOLID
cover-random-policy-audits.3625,per_slice/row402::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].n_unguided,SOLID
cover-random-policy-audits.3626,per_slice/row402::anat_cells,57,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].anat_cells,SOLID
cover-random-policy-audits.3627,per_slice/row402::union,88,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[402].union,SOLID
cover-random-policy-audits.3628,per_slice/row403::idx,83970,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].idx,SOLID
cover-random-policy-audits.3629,per_slice/row403::hidden_pct,84.25031550949623,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].hidden_pct,SOLID
cover-random-policy-audits.3630,per_slice/row403::visible_pct,15.749684490503768,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].visible_pct,SOLID
cover-random-policy-audits.3631,per_slice/row403::n_cover,3,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].n_cover,SOLID
cover-random-policy-audits.3632,per_slice/row403::n_random,1,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].n_random,SOLID
cover-random-policy-audits.3633,per_slice/row403::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].n_transition,SOLID
cover-random-policy-audits.3634,per_slice/row403::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].n_unguided,SOLID
cover-random-policy-audits.3635,per_slice/row403::anat_cells,57,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].anat_cells,SOLID
cover-random-policy-audits.3636,per_slice/row403::union,91,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[403].union,SOLID
cover-random-policy-audits.3637,per_slice/row404::idx,83970,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].idx,SOLID
cover-random-policy-audits.3638,per_slice/row404::hidden_pct,84.25031550949623,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].hidden_pct,SOLID
cover-random-policy-audits.3639,per_slice/row404::visible_pct,15.749684490503768,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].visible_pct,SOLID
cover-random-policy-audits.3640,per_slice/row404::n_cover,3,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].n_cover,SOLID
cover-random-policy-audits.3641,per_slice/row404::n_random,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].n_random,SOLID
cover-random-policy-audits.3642,per_slice/row404::n_transition,1,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].n_transition,SOLID
cover-random-policy-audits.3643,per_slice/row404::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].n_unguided,SOLID
cover-random-policy-audits.3644,per_slice/row404::anat_cells,57,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].anat_cells,SOLID
cover-random-policy-audits.3645,per_slice/row404::union,83,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[404].union,SOLID
cover-random-policy-audits.3646,per_slice/row405::idx,83975,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].idx,SOLID
cover-random-policy-audits.3647,per_slice/row405::hidden_pct,84.78660069821143,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].hidden_pct,SOLID
cover-random-policy-audits.3648,per_slice/row405::visible_pct,15.213399301788566,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].visible_pct,SOLID
cover-random-policy-audits.3649,per_slice/row405::n_cover,3,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].n_cover,SOLID
cover-random-policy-audits.3650,per_slice/row405::n_random,1,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].n_random,SOLID
cover-random-policy-audits.3651,per_slice/row405::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].n_transition,SOLID
cover-random-policy-audits.3652,per_slice/row405::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].n_unguided,SOLID
cover-random-policy-audits.3653,per_slice/row405::anat_cells,63,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].anat_cells,SOLID
cover-random-policy-audits.3654,per_slice/row405::union,126,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[405].union,SOLID
cover-random-policy-audits.3655,per_slice/row406::idx,83975,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].idx,SOLID
cover-random-policy-audits.3656,per_slice/row406::hidden_pct,84.78660069821143,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].hidden_pct,SOLID
cover-random-policy-audits.3657,per_slice/row406::visible_pct,15.213399301788566,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].visible_pct,SOLID
cover-random-policy-audits.3658,per_slice/row406::n_cover,3,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].n_cover,SOLID
cover-random-policy-audits.3659,per_slice/row406::n_random,1,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].n_random,SOLID
cover-random-policy-audits.3660,per_slice/row406::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].n_transition,SOLID
cover-random-policy-audits.3661,per_slice/row406::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].n_unguided,SOLID
cover-random-policy-audits.3662,per_slice/row406::anat_cells,63,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].anat_cells,SOLID
cover-random-policy-audits.3663,per_slice/row406::union,123,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[406].union,SOLID
cover-random-policy-audits.3664,per_slice/row407::idx,83975,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].idx,SOLID
cover-random-policy-audits.3665,per_slice/row407::hidden_pct,84.78660069821143,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].hidden_pct,SOLID
cover-random-policy-audits.3666,per_slice/row407::visible_pct,15.213399301788566,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].visible_pct,SOLID
cover-random-policy-audits.3667,per_slice/row407::n_cover,3,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].n_cover,SOLID
cover-random-policy-audits.3668,per_slice/row407::n_random,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].n_random,SOLID
cover-random-policy-audits.3669,per_slice/row407::n_transition,1,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].n_transition,SOLID
