epoch,train_loss,train_auc,val_loss,val_auc,lr_probe,lr_head,elapsed_s
1,0.708915,0.496087,0.694517,0.537230,0.00000000,0.00008000,1.0
2,0.681415,0.589684,0.659242,0.668049,0.00000000,0.00016000,1.2
3,0.634926,0.731177,0.614534,0.773290,0.00000000,0.00024000,0.6
4,0.582853,0.814105,0.571073,0.812665,0.00000000,0.00032000,1.1
5,0.536526,0.846651,0.536039,0.830106,0.00000000,0.00040000,0.7
6,0.502946,0.858922,0.512748,0.839282,0.00000000,0.00039951,1.1
7,0.480102,0.867025,0.495180,0.845199,0.00000000,0.00039805,0.9
8,0.465124,0.871273,0.483988,0.849565,0.00000000,0.00039563,1.4
9,0.452659,0.876652,0.475710,0.852333,0.00000000,0.00039225,0.8
10,0.445523,0.877874,0.470588,0.854189,0.00000000,0.00038794,0.7
11,0.438991,0.879724,0.465984,0.855874,0.00000000,0.00038271,1.6
12,0.433844,0.881328,0.462222,0.856659,0.00000000,0.00037659,1.1
13,0.427611,0.884329,0.458441,0.858191,0.00000000,0.00036961,0.6
14,0.425846,0.884105,0.456467,0.858684,0.00000000,0.00036180,2.2
15,0.422943,0.885092,0.454025,0.859738,0.00000000,0.00035321,0.8
16,0.420280,0.886081,0.452626,0.860132,0.00000000,0.00034387,0.6
17,0.418144,0.886737,0.451546,0.860432,0.00000000,0.00033383,1.1
18,0.413300,0.889805,0.450815,0.860793,0.00000000,0.00032313,0.6
19,0.414294,0.888409,0.449452,0.861103,0.00000000,0.00031184,0.8
20,0.412297,0.889216,0.448576,0.861395,0.00000000,0.00030000,0.6
21,0.411171,0.889672,0.447616,0.861625,0.00000000,0.00028767,0.9
22,0.410005,0.890126,0.447446,0.861719,0.00000000,0.00027492,7.3
23,0.409062,0.890442,0.446471,0.862217,0.00000000,0.00026180,0.7
24,0.406791,0.891571,0.446109,0.862425,0.00000000,0.00024838,1.2
25,0.407699,0.891044,0.445894,0.862463,0.00000000,0.00023473,1.9
26,0.407329,0.890894,0.445934,0.862601,0.00000000,0.00022091,0.7
27,0.404740,0.892609,0.445216,0.862892,0.00000000,0.00020698,0.8
28,0.405478,0.891984,0.444687,0.863116,0.00000000,0.00019302,0.8
29,0.406683,0.891170,0.445045,0.862978,0.00000000,0.00017909,0.8
30,0.404034,0.892583,0.444229,0.863082,0.00000000,0.00016527,1.2
31,0.404955,0.892199,0.444098,0.863266,0.00000000,0.00015162,0.8
32,0.403231,0.892927,0.443766,0.863282,0.00000000,0.00013820,0.8
33,0.403432,0.892747,0.443809,0.863336,0.00000000,0.00012508,0.7
34,0.402336,0.893522,0.443543,0.863410,0.00000000,0.00011233,1.0
35,0.402163,0.893466,0.443542,0.863436,0.00000000,0.00010000,1.4
36,0.401972,0.893519,0.443319,0.863560,0.00000000,0.00008816,0.6
37,0.401270,0.894170,0.443420,0.863398,0.00000000,0.00007687,1.2
38,0.401810,0.893582,0.443281,0.863542,0.00000000,0.00006617,0.7
39,0.402005,0.893380,0.443237,0.863506,0.00000000,0.00005613,0.6
40,0.401115,0.893912,0.443112,0.863578,0.00000000,0.00004679,0.6
41,0.401606,0.893842,0.443011,0.863554,0.00000000,0.00003820,1.0
42,0.399983,0.894735,0.443023,0.863566,0.00000000,0.00003039,0.7
43,0.400203,0.894791,0.443050,0.863574,0.00000000,0.00002341,0.7
44,0.401647,0.893720,0.443035,0.863574,0.00000000,0.00001729,1.4
45,0.401583,0.893878,0.443010,0.863568,0.00000000,0.00001206,0.6
46,0.401129,0.894090,0.443007,0.863574,0.00000000,0.00000775,0.7
47,0.401461,0.893602,0.443010,0.863590,0.00000000,0.00000437,0.6
48,0.399468,0.894924,0.442988,0.863574,0.00000000,0.00000195,0.6
49,0.401412,0.893783,0.442987,0.863574,0.00000000,0.00000049,0.9
50,0.400209,0.894656,0.442986,0.863584,0.00000000,0.00000000,0.7
