epoch,train_loss,train_auc,val_loss,val_auc,lr_probe,lr_head,elapsed_s
1,0.715515,0.482493,0.702828,0.517368,0.00000000,0.00008000,3.3
2,0.687572,0.571609,0.666042,0.641108,0.00000000,0.00016000,0.8
3,0.640494,0.713606,0.619898,0.757387,0.00000000,0.00024000,1.2
4,0.588118,0.802758,0.575759,0.803587,0.00000000,0.00032000,1.3
5,0.541367,0.839352,0.540469,0.823597,0.00000000,0.00040000,0.9
6,0.507741,0.853209,0.517004,0.834356,0.00000000,0.00039951,0.9
7,0.484694,0.862470,0.499597,0.841645,0.00000000,0.00039805,1.2
8,0.469631,0.867139,0.488607,0.846370,0.00000000,0.00039563,0.9
9,0.456918,0.873087,0.479824,0.849779,0.00000000,0.00039225,0.9
10,0.449459,0.874794,0.474386,0.851714,0.00000000,0.00038794,1.3
11,0.442562,0.877035,0.469479,0.853551,0.00000000,0.00038271,0.9
12,0.437452,0.878693,0.465442,0.854452,0.00000000,0.00037659,0.9
13,0.431149,0.881752,0.461539,0.855964,0.00000000,0.00036961,1.3
14,0.429234,0.881539,0.459379,0.856789,0.00000000,0.00036180,1.0
15,0.426127,0.882740,0.456863,0.857633,0.00000000,0.00035321,0.9
16,0.423539,0.883734,0.455292,0.858191,0.00000000,0.00034387,1.6
17,0.421133,0.884577,0.454019,0.858644,0.00000000,0.00033383,0.9
18,0.416482,0.887501,0.453097,0.859106,0.00000000,0.00032313,1.2
19,0.417311,0.886297,0.451691,0.859482,0.00000000,0.00031184,1.0
20,0.415003,0.887265,0.450768,0.859820,0.00000000,0.00030000,1.0
21,0.413747,0.887906,0.449756,0.860148,0.00000000,0.00028767,1.2
22,0.412589,0.888389,0.449355,0.860557,0.00000000,0.00027492,0.9
23,0.411725,0.888607,0.448440,0.860947,0.00000000,0.00026180,0.9
24,0.409243,0.889912,0.448087,0.861099,0.00000000,0.00024838,1.2
25,0.410323,0.889303,0.447788,0.861233,0.00000000,0.00023473,0.9
26,0.409641,0.889263,0.447541,0.861337,0.00000000,0.00022091,1.0
27,0.407491,0.890708,0.446858,0.861667,0.00000000,0.00020698,1.3
28,0.408030,0.890223,0.446356,0.861833,0.00000000,0.00019302,1.0
29,0.409191,0.889372,0.446711,0.861801,0.00000000,0.00017909,0.9
30,0.406315,0.890996,0.445807,0.862027,0.00000000,0.00016527,1.2
31,0.407133,0.890654,0.445593,0.862197,0.00000000,0.00015162,0.9
32,0.405452,0.891447,0.445394,0.862073,0.00000000,0.00013820,0.9
33,0.405655,0.891249,0.445341,0.862081,0.00000000,0.00012508,1.3
34,0.404561,0.892027,0.445099,0.862261,0.00000000,0.00011233,2.4
35,0.404184,0.892191,0.445060,0.862083,0.00000000,0.00010000,1.1
36,0.404347,0.891983,0.444901,0.862319,0.00000000,0.00008816,1.0
37,0.403192,0.892963,0.444900,0.862245,0.00000000,0.00007687,1.7
38,0.404134,0.892017,0.444755,0.862301,0.00000000,0.00006617,2.8
39,0.404241,0.891951,0.444761,0.862313,0.00000000,0.00005613,0.9
40,0.403304,0.892474,0.444544,0.862337,0.00000000,0.00004679,1.0
41,0.403701,0.892521,0.444490,0.862431,0.00000000,0.00003820,3.0
42,0.402190,0.893305,0.444467,0.862385,0.00000000,0.00003039,1.2
43,0.402425,0.893325,0.444492,0.862383,0.00000000,0.00002341,7.9
44,0.403855,0.892282,0.444499,0.862407,0.00000000,0.00001729,0.9
45,0.403838,0.892421,0.444466,0.862413,0.00000000,0.00001206,2.2
46,0.403516,0.892483,0.444451,0.862385,0.00000000,0.00000775,1.3
47,0.403778,0.892061,0.444436,0.862413,0.00000000,0.00000437,1.2
48,0.401862,0.893360,0.444422,0.862409,0.00000000,0.00000195,0.9
49,0.403590,0.892345,0.444424,0.862411,0.00000000,0.00000049,0.9
50,0.402665,0.893001,0.444422,0.862407,0.00000000,0.00000000,2.0
