epoch,train_loss,train_auc,val_loss,val_auc,lr_probe,lr_head,elapsed_s
1,0.716995,0.488210,0.704486,0.517534,0.00000000,0.00008000,47.6
2,0.688883,0.557618,0.669509,0.634229,0.00000000,0.00016000,47.3
3,0.649195,0.697247,0.631738,0.739374,0.00000000,0.00024000,47.6
4,0.606745,0.777738,0.597608,0.772668,0.00000000,0.00032000,47.6
5,0.570059,0.808545,0.570110,0.792936,0.00000000,0.00040000,47.6
6,0.542563,0.823857,0.550568,0.805608,0.00000000,0.00039951,47.8
7,0.521527,0.836535,0.531954,0.816473,0.00000000,0.00039805,47.7
8,0.506021,0.845007,0.520638,0.824495,0.00000000,0.00039563,47.8
9,0.492336,0.853276,0.511110,0.829802,0.00000000,0.00039225,47.9
10,0.483997,0.856718,0.505033,0.833509,0.00000000,0.00038794,47.6
11,0.475636,0.860064,0.498867,0.836451,0.00000000,0.00038271,47.7
12,0.469662,0.862652,0.493881,0.839006,0.00000000,0.00037659,48.3
13,0.462032,0.866586,0.488848,0.841567,0.00000000,0.00036961,47.6
14,0.459190,0.866899,0.485220,0.843322,0.00000000,0.00036180,47.1
15,0.454784,0.868888,0.482606,0.845065,0.00000000,0.00035321,48.1
16,0.451161,0.870840,0.480050,0.845677,0.00000000,0.00034387,47.4
17,0.448076,0.871610,0.478048,0.846786,0.00000000,0.00033383,47.8
18,0.443391,0.874844,0.476922,0.847546,0.00000000,0.00032313,47.8
19,0.442846,0.874509,0.474617,0.848271,0.00000000,0.00031184,47.8
20,0.439910,0.875639,0.473059,0.849087,0.00000000,0.00030000,47.6
21,0.438491,0.876117,0.471306,0.849969,0.00000000,0.00028767,48.1
22,0.436368,0.877556,0.470851,0.850322,0.00000000,0.00027492,47.8
23,0.435178,0.877694,0.469117,0.851220,0.00000000,0.00026180,48.0
24,0.432054,0.879423,0.468607,0.851304,0.00000000,0.00024838,48.4
25,0.432702,0.879090,0.468114,0.851848,0.00000000,0.00023473,48.7
26,0.431333,0.879446,0.466927,0.852301,0.00000000,0.00022091,47.3
27,0.430021,0.880252,0.466668,0.852667,0.00000000,0.00020698,48.7
28,0.429921,0.880020,0.465967,0.852865,0.00000000,0.00019302,47.1
29,0.430944,0.879112,0.466713,0.852863,0.00000000,0.00017909,47.2
30,0.427519,0.881217,0.465078,0.853221,0.00000000,0.00016527,47.8
31,0.428367,0.880597,0.464625,0.853567,0.00000000,0.00015162,47.5
32,0.425881,0.881907,0.464249,0.853813,0.00000000,0.00013820,47.8
33,0.426570,0.881393,0.464093,0.853809,0.00000000,0.00012508,47.7
34,0.424720,0.882856,0.463544,0.854169,0.00000000,0.00011233,46.8
35,0.424804,0.882516,0.463540,0.854143,0.00000000,0.00010000,47.8
36,0.425329,0.881999,0.463383,0.854179,0.00000000,0.00008816,47.6
37,0.423757,0.883356,0.463299,0.854225,0.00000000,0.00007687,47.4
38,0.424645,0.882412,0.463070,0.854313,0.00000000,0.00006617,49.0
39,0.423902,0.882864,0.463219,0.854404,0.00000000,0.00005613,47.3
40,0.423457,0.883185,0.462668,0.854406,0.00000000,0.00004679,47.4
41,0.423495,0.883278,0.462603,0.854474,0.00000000,0.00003820,48.2
42,0.422641,0.883562,0.462638,0.854538,0.00000000,0.00003039,47.6
43,0.422631,0.883886,0.462612,0.854530,0.00000000,0.00002341,47.3
44,0.423585,0.883083,0.462626,0.854594,0.00000000,0.00001729,47.7
45,0.423687,0.883282,0.462572,0.854606,0.00000000,0.00001206,47.0
46,0.423167,0.883349,0.462571,0.854600,0.00000000,0.00000775,47.7
47,0.423736,0.882746,0.462537,0.854616,0.00000000,0.00000437,47.8
48,0.421861,0.884222,0.462503,0.854626,0.00000000,0.00000195,47.7
49,0.423295,0.883211,0.462512,0.854624,0.00000000,0.00000049,47.8
50,0.422225,0.884111,0.462515,0.854618,0.00000000,0.00000000,48.1
