epoch,train_loss,train_auc,val_loss,val_auc,lr_probe,lr_head,elapsed_s
1,0.718332,0.485525,0.713097,0.485947,0.00000000,0.00008000,2.5
2,0.689168,0.554606,0.675758,0.613837,0.00000000,0.00016000,0.8
3,0.650545,0.698839,0.639329,0.717401,0.00000000,0.00024000,1.2
4,0.613134,0.757718,0.608709,0.748987,0.00000000,0.00032000,0.9
5,0.581118,0.785786,0.584714,0.769921,0.00000000,0.00040000,0.7
6,0.559274,0.800038,0.567488,0.784488,0.00000000,0.00039951,1.9
7,0.541100,0.815072,0.551492,0.797322,0.00000000,0.00039805,1.5
8,0.527289,0.825088,0.541149,0.806366,0.00000000,0.00039563,0.7
9,0.514401,0.835491,0.531746,0.812877,0.00000000,0.00039225,2.9
10,0.506534,0.840268,0.525923,0.817782,0.00000000,0.00038794,5.7
11,0.498024,0.844930,0.519564,0.821800,0.00000000,0.00038271,0.8
12,0.492498,0.847745,0.514016,0.825075,0.00000000,0.00037659,0.7
13,0.484443,0.852944,0.508663,0.828157,0.00000000,0.00036961,2.3
14,0.481709,0.853471,0.505008,0.830372,0.00000000,0.00036180,1.8
15,0.476523,0.856537,0.502335,0.832565,0.00000000,0.00035321,2.0
16,0.473831,0.857478,0.499387,0.833569,0.00000000,0.00034387,3.1
17,0.470260,0.859031,0.497118,0.834852,0.00000000,0.00033383,0.8
18,0.465306,0.862317,0.495625,0.835873,0.00000000,0.00032313,2.4
19,0.464502,0.862135,0.493138,0.837037,0.00000000,0.00031184,0.7
20,0.461361,0.863530,0.491361,0.837719,0.00000000,0.00030000,1.0
21,0.459855,0.864170,0.489508,0.838848,0.00000000,0.00028767,0.7
22,0.457475,0.865679,0.488942,0.839274,0.00000000,0.00027492,0.8
23,0.456755,0.865492,0.486978,0.840049,0.00000000,0.00026180,0.8
24,0.453652,0.867518,0.486565,0.840239,0.00000000,0.00024838,1.3
25,0.453892,0.867128,0.485575,0.841261,0.00000000,0.00023473,1.1
26,0.452604,0.867600,0.484490,0.841775,0.00000000,0.00022091,1.0
27,0.451480,0.868129,0.484115,0.842094,0.00000000,0.00020698,1.0
28,0.450720,0.868219,0.483419,0.842428,0.00000000,0.00019302,4.6
29,0.451274,0.867682,0.483686,0.842768,0.00000000,0.00017909,1.1
30,0.448322,0.869507,0.482303,0.843172,0.00000000,0.00016527,0.9
31,0.449203,0.868820,0.481705,0.843524,0.00000000,0.00015162,2.0
32,0.446577,0.870391,0.481452,0.843714,0.00000000,0.00013820,0.9
33,0.446727,0.870182,0.481163,0.843856,0.00000000,0.00012508,0.8
34,0.445265,0.871308,0.480581,0.844119,0.00000000,0.00011233,1.9
35,0.445929,0.870580,0.480537,0.844221,0.00000000,0.00010000,0.8
36,0.446053,0.870399,0.480382,0.844355,0.00000000,0.00008816,1.2
37,0.443647,0.872444,0.480193,0.844511,0.00000000,0.00007687,0.8
38,0.445242,0.870842,0.479955,0.844611,0.00000000,0.00006617,0.8
39,0.444788,0.871064,0.480095,0.844743,0.00000000,0.00005613,2.6
40,0.444340,0.871361,0.479565,0.844859,0.00000000,0.00004679,0.8
41,0.443960,0.871760,0.479463,0.844911,0.00000000,0.00003820,1.1
42,0.443408,0.871990,0.479469,0.845019,0.00000000,0.00003039,0.7
43,0.442977,0.872518,0.479449,0.845033,0.00000000,0.00002341,0.8
44,0.444433,0.871387,0.479513,0.845049,0.00000000,0.00001729,0.9
45,0.444353,0.871482,0.479443,0.845037,0.00000000,0.00001206,0.9
46,0.443813,0.871721,0.479395,0.845073,0.00000000,0.00000775,1.7
47,0.444423,0.870912,0.479360,0.845043,0.00000000,0.00000437,4.0
48,0.442732,0.872557,0.479351,0.845061,0.00000000,0.00000195,0.9
49,0.444335,0.871228,0.479354,0.845059,0.00000000,0.00000049,1.0
50,0.443195,0.872319,0.479358,0.845065,0.00000000,0.00000000,0.6
